run_id,model,dataset,n_useless,n_obs,idx,test_frac,r_squared,nise,ise,noise,mse_test,r2_test,var_f,time,param_min_sample_split,param_min_sample_leaf,param_max_depth,param_bic_factor,param_min_samples_split,param_min_samples_leaf,param_ccp_alpha,param_min_data,param_thresh,param_penalty,param_minspan_alpha,param_max_terms,param_max_degree,param_endspan
226,MARS,dataset_6_useless_0_noise_0.0_n_500,0,500,6,0.2,0.9944187542603499,39269.35870195009,4019.392536901621,0.0,0.0024604084249021784,0.9759618748097535,0.10235442262778843,9.124128800001927,,,,,,,,,,2.0,0.05,100.0,3.0,10.0
227,PILOT_Base,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,1.0,5.4151645394673316e-05,0.025473762064590233,0.0,0.0001769011254485433,0.999999623946907,470.4152917040631,5.280698199989274,2.0,1.0,3.0,1.0,,,,,,,,,,
227,CART,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,0.999014222197595,1.0035351687184495,472.0782891279756,0.0,3.2783214522776083,0.9930310057727886,470.4152917040631,0.13743860000977293,,,15.0,,2.0,1.0,0.01,,,,,,,
227,PILOT,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,1.0,5.4151645394673316e-05,0.025473762064590233,0.0,0.0001769011254485433,0.999999623946907,470.4152917040631,7.555916699988302,20.0,1.0,9.0,1.1,,,,,,,,,,
227,LightGBMLinear,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,0.999913932746536,0.02420539149909739,11.38658630285895,0.0,0.07907351599207604,0.9998319070034785,470.4152917040631,3.207791399996495,,,3.0,,,,,30.0,,,,,,
227,MARS,dataset_1_useless_0_noise_0.0_n_500,0,500,1,0.2,0.9999998206284622,2.6357607402370204e-05,0.012399021574807153,0.0,8.610431649171634e-05,0.9999998169610597,470.4152917040631,0.26722109998809174,,,,,,,,,0.01,3.0,0.0,50.0,1.0,
227,PILOT_Base,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,0.9995905608088417,0.2747600341144847,296.36415764375977,0.0,2.0580844280816653,0.9980919442075383,1078.6290611693303,2.129327300004661,2.0,1.0,12.0,1.0,,,,,,,,,,
227,CART,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,0.9995503533089634,3.4347930153135255,3704.8675654186013,0.0,25.72824698207362,0.9761472707269894,1078.6290611693303,0.12964020000072196,,,15.0,,2.0,1.0,0.01,,,,,,,
227,PILOT,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,0.999980271231747,0.2605491240833507,281.03585709851586,0.0,1.9516378965174714,0.9981906310827545,1078.6290611693303,2.510604000010062,2.0,1.0,9.0,0.01,,,,,,,,,,
227,LightGBMLinear,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,0.999370843323744,0.2442935231860529,263.50209356392025,0.0,1.8298756497494462,0.9983035172000968,1078.6290611693303,2.7445095000148285,,,6.0,,,,,30.0,,,,,,
227,MARS,dataset_2_useless_0_noise_0.0_n_500,0,500,2,0.2,0.9998082036336652,0.028482370783093312,30.721912857644703,0.0,0.2133466170669771,0.9998022057584507,1078.6290611693303,2.243830400024308,,,,,,,,,0.001,3.0,0.1,100.0,2.0,
227,PILOT_Base,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,0.04453831691444132,143.13751055172332,762732.3567033716,0.0,5296.752477106747,0.005989510057476943,5328.668591226862,0.8116572999861091,10.0,10.0,18.0,1.0,,,,,,,,,,
227,CART,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,0.9998801012409451,10.06705728658198,53644.01196909091,0.0,372.5278608964647,0.9300898799542918,5328.668591226862,0.14151180000044405,,,18.0,,2.0,1.0,0.015,,,,,,,
227,PILOT,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,0.9971203165332182,0.8400400351991245,4476.294950938683,0.0,31.085381603740853,0.9941663886444505,5328.668591226862,3.3355249000014737,2.0,20.0,18.0,0.1,,,,,,,,,,
227,LightGBMLinear,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,0.9999341796347989,0.1578726600300058,841.2510849153283,0.0,5.842021423023113,0.998903662083125,5328.668591226862,2.9712340000260156,,,12.0,,,,,10.0,,,,,,
227,MARS,dataset_3_useless_0_noise_0.0_n_500,0,500,3,0.2,1.0,1.7020798240174452e-28,9.069819298002705e-25,0.0,6.2984856236129896e-27,1.0,5328.668591226862,35.24774510000134,,,,,,,,,0.001,1.0,,,2.0,20.0
227,PILOT_Base,dataset_4_useless_0_noise_0.0_n_500,0,500,4,0.2,0.9828097198629759,0.025275897696542173,0.5998387042482282,0.0,0.5998387042482282,0.9747241023034579,23.731647890404624,10.12882269997499,2.0,5.0,12.0,1.0,,,,,,,,,,
227,CART,dataset_4_useless_0_noise_0.0_n_500,0,500,4,0.2,0.847913778798828,0.3085324746507694,7.321984051167249,0.0,7.321984051167249,0.6914675253492306,23.731647890404624,0.17151530002593063,,,18.0,,20.0,10.0,0.03,,,,,,,
227,PILOT,dataset_4_useless_0_noise_0.0_n_500,0,500,4,0.2,0.9823261671241086,0.02648062141969591,0.6284287834513299,0.0,0.6284287834513299,0.9735193785803041,23.731647890404624,16.95374520000769,10.0,5.0,18.0,1.0,,,,,,,,,,
227,LightGBMLinear,dataset_4_useless_0_noise_0.0_n_500,0,500,4,0.2,0.993156669294101,0.023324623585575133,0.553531754109096,0.0,0.553531754109096,0.9766753764144248,23.731647890404624,3.5876048000063747,,,3.0,,,,,30.0,,,,,,
227,MARS,dataset_4_useless_0_noise_0.0_n_500,0,500,4,0.2,0.9991911569539129,0.0008974515756646229,0.021298004792361654,0.0,0.021298004792361654,0.9991025484243353,23.731647890404624,7.339655999996467,,,,,,,,,,2.0,,,3.0,20.0
227,PILOT_Base,dataset_5_useless_0_noise_0.0_n_500,0,500,5,0.2,0.8713088469685717,215495.60936228343,31107943321.680176,0.0,19042.24211179967,0.868087725213048,144355.346328113,1.9853045000054408,10.0,10.0,18.0,1.0,,,,,,,,,,
227,CART,dataset_5_useless_0_noise_0.0_n_500,0,500,5,0.2,0.9994276555831326,24999.24148493642,3608774162.498127,0.0,2209.0547940918914,0.9846971044004784,144355.346328113,0.13591109999106266,,,9.0,,2.0,1.0,0.015,,,,,,,
227,PILOT,dataset_5_useless_0_noise_0.0_n_500,0,500,5,0.2,0.9995199785008636,1830.6322899750685,264261558.2187776,0.0,161.76358946032747,0.9988794070079493,144355.346328113,6.534465400007321,2.0,20.0,18.0,0.1,,,,,,,,,,
227,LightGBMLinear,dataset_5_useless_0_noise_0.0_n_500,0,500,5,0.2,0.999986149470166,749.1609295553174,108145385.4414489,0.0,66.19951025224957,0.9995414128264998,144355.346328113,3.362975900003221,,,6.0,,,,,10.0,,,,,,
227,MARS,dataset_5_useless_0_noise_0.0_n_500,0,500,5,0.2,0.9994192515287653,1214.0290897724099,175251589.70650002,0.0,107.27752610193156,0.9992568510357899,144355.346328113,0.9633523999946192,,,,,,,,,,1.0,0.0,50.0,2.0,
227,PILOT_Base,dataset_6_useless_0_noise_0.0_n_500,0,500,6,0.2,0.9819140144270396,161891.4326085713,16126.770081927601,0.0,0.00987175067171257,0.9009006856004516,0.09961472217569203,4.35713640000904,2.0,5.0,6.0,1.0,,,,,,,,,,
227,CART,dataset_6_useless_0_noise_0.0_n_500,0,500,6,0.2,0.9430124248375028,305396.1072936799,30421.94838159776,0.0,0.018622321013145267,0.8130565381661077,0.09961472217569203,0.14948649998405017,,,6.0,,10.0,1.0,0.0,,,,,,,
